"","mean","sd","mean-2*sd","mean+2*sd","min_fin","max_fin"
"A/G",1.52017055655296,0.30787138661234,0.904427783328283,2.13591332977764,0.904427783328283,2.13591332977764
"ALB",41.2430408438061,4.54207577830963,32.1588892871869,50.3271924004254,32.1588892871869,50.3271924004254
"ALP",81.8235722621185,59.3222087830014,-36.8208453038843,200.467989828121,11,200.467989828121
"ALT",28.0282571813285,53.2119183486963,-78.3955795160641,134.452093878721,2,134.452093878721
"apoA",1.28893402154399,0.304473372280012,0.679987276983962,1.89788076610401,0.679987276983962,1.89788076610401
"apoB",0.914916517055655,0.246820587440322,0.421275342175012,1.4085576919363,0.421275342175012,1.4085576919363
"AST",25.172973070018,31.0738462149422,-36.9747193598664,87.3206654999023,1,87.3206654999023
"AST/ALT",1.11085323159785,0.488324873708373,0.1342034841811,2.08750297901459,0.1342034841811,2.08750297901459
"Ca",2.2687881508079,0.140651003524635,1.98748614375863,2.55009015785717,1.98748614375863,2.55009015785717
"CHO",4.65670780969479,1.09601932496251,2.46466915976977,6.84874645961982,2.46466915976977,6.84874645961982
"CK",174.215496858169,387.876175432704,-601.53685400724,949.967847723577,5,949.967847723577
"CKMB",16.1354447935368,12.4470840984393,-8.75872340334174,41.0296129904154,1,41.0296129904154
"Cl",103.533675942549,3.06358065216671,97.4065146382159,109.660837246883,97.4065146382159,109.660837246883
"CO2",24.6996036804309,2.70894340481779,19.2817168707953,30.1174904900665,19.2817168707953,30.1174904900665
"CREA",68.6331440754039,39.1080564905224,-9.58296890564077,146.849257056449,2,146.849257056449
"DBIL",3.93772172351885,5.72596126864747,-7.5142008137761,15.3896442608138,0.1,15.3896442608138
"GGT",33.9701611310592,71.4997314330358,-109.029301735012,176.969623997131,1,176.969623997131
"GLO",27.9270332136445,4.87176639524514,18.1835004231542,37.6705660041348,18.1835004231542,37.6705660041348
"GLU",5.28162387791741,1.41065469850033,2.46031448091676,8.10293327491807,2.46031448091676,8.10293327491807
"HDL-C",1.23473922800718,0.353867457049278,0.527004313908626,1.94247414210574,0.527004313908626,1.94247414210574
"IBIL",9.11697037701975,5.61359966216317,-2.11022894730658,20.3441697013461,0.1,20.3441697013461
"K",3.93419883303411,0.414172610685088,3.10585361166394,4.76254405440429,3.10585361166394,4.76254405440429
"LDH",170.437181328546,82.4628191598193,5.51154300890715,335.362819648184,27,335.362819648184
"LDL-C",2.72377962298025,0.888309307114673,0.947161008750905,4.5003982372096,0.947161008750905,4.5003982372096
"Mg",0.883722172351885,0.0934413744760487,0.696839423399788,1.07060492130398,0.696839423399788,1.07060492130398
"Na",140.09377064632,2.74000761024598,134.613755425828,145.573785866812,134.613755425828,145.573785866812
"P",1.21701481149013,0.220092602906033,0.77682960567806,1.65720001730219,0.77682960567806,1.65720001730219
"TBIL",13.0533649012567,9.13086096828958,-5.20835703532242,31.3150868378359,0.9,31.3150868378359
"TG",1.29035412926391,1.02712646468081,-0.763898800097698,3.34460705862553,0.07,3.34460705862553
"TP",69.1701965888689,6.75844601895893,55.6533045509511,82.6870886267868,55.6533045509511,82.6870886267868
"UA",326.753518850987,103.566165685572,119.621187479843,533.885850222131,119.621187479843,533.885850222131
"Urea",4.50499910233393,1.90474222567556,0.695514650982821,8.31448355368504,0.695514650982821,8.31448355368504
"BASO%",0.448390484739677,0.291810223061446,-0.135229961383215,1.03201093086257,0,1.03201093086257
"EO%",2.36954398563734,2.37663110711652,-2.38371822859569,7.12280619987038,0.04,7.12280619987038
"HCT",40.3927019748654,4.87602518319941,30.6406516084665,50.1447523412642,30.6406516084665,50.1447523412642
"HGB",133.80933572711,17.7977400801992,98.213855566711,169.404815887508,98.213855566711,169.404815887508
"LYM%",29.5500175044883,10.4533720021538,8.64327350018078,50.4567615087959,8.64327350018078,50.4567615087959
"MCH",29.5837118491921,2.38340104095376,24.8169097672846,34.3505139310996,24.8169097672846,34.3505139310996
"MCHC",330.894748653501,12.1524869242446,306.589774805012,355.19972250199,306.589774805012,355.19972250199
"MCV",89.3572307001795,6.01295739867049,77.3313159028386,101.383145497521,77.3313159028386,101.383145497521
"MON%",7.44287567324955,2.3783917744585,2.68609212433256,12.1996592221665,2.68609212433256,12.1996592221665
"MPV",10.1841337522442,0.945690774963937,8.29275220231629,12.075515302172,8.29275220231629,12.075515302172
"NEU%",60.2222885996409,11.4531959932862,37.3158966130686,83.1286805862133,37.3158966130686,83.1286805862133
"PCT",0.251676391382406,0.070994641306919,0.109687108768568,0.393665673996244,0.109687108768568,0.393665673996244
"PDW",11.7291292639138,1.98177357564551,7.7655821126228,15.6926764152048,7.7655821126228,15.6926764152048
"PLT",249.820421903052,76.4546631782757,96.9110955465007,402.729748259603,96.9110955465007,402.729748259603
"RBC",4.53670287253142,0.593904098970918,3.34889467458958,5.72451107047326,3.34889467458958,5.72451107047326
"RDW-CV",13.115723518851,1.35682004765548,10.40208342354,15.829363614162,10.40208342354,15.829363614162
"WBC",7.35823922800718,2.76701567002452,1.82420788795813,12.8922705680562,1.82420788795813,12.8922705680562
